frame,North_Straight,North_Left,South_Straight,South_Left,East_Straight,East_Left,West_Straight,West_Left,Center
274,1,2,1,2,8,10,11,6,7
275,1,2,1,2,8,10,11,6,7
276,1,2,1,2,9,10,11,6,6
277,1,2,1,2,9,10,11,6,6
278,1,2,1,2,9,10,10,6,6
279,1,2,1,2,9,10,10,6,6
280,1,2,1,2,9,10,10,6,6
281,1,2,1,2,9,10,10,6,6
282,1,2,1,2,9,10,10,6,6
283,1,2,1,2,9,10,10,6,6
284,1,2,1,2,9,10,10,6,6
285,1,2,1,2,9,10,10,6,6
286,1,2,2,2,9,10,9,6,5
287,1,2,1,2,9,10,9,6,5
288,1,2,2,2,9,10,10,6,5
289,1,2,2,2,9,10,10,6,5
290,1,2,2,2,9,10,11,6,5
291,0,2,1,2,9,10,11,6,5
292,0,2,1,2,9,10,11,6,5
293,0,2,2,2,9,10,9,6,6
294,0,2,2,2,9,10,9,6,6
295,0,2,2,2,9,10,9,6,6
296,0,2,2,2,9,10,9,6,6
297,0,2,2,2,9,10,9,6,6
298,0,2,2,2,9,10,9,6,7
299,1,2,2,2,9,10,9,6,7
300,1,2,2,2,9,10,10,6,7
301,1,2,1,2,9,10,10,6,7
302,1,2,1,2,9,10,10,6,7
303,1,2,1,2,9,10,9,6,6
304,1,2,1,2,9,10,9,6,6
305,1,2,1,2,9,10,9,6,6
306,2,1,2,2,9,10,10,6,7
307,2,1,2,2,9,10,10,6,7
308,2,1,2,2,9,10,9,6,6
309,2,1,2,2,9,10,9,6,6
310,2,2,2,2,9,10,9,6,6
311,2,2,2,2,9,10,10,6,6
312,2,2,2,2,9,10,10,6,6
313,2,2,1,2,9,10,10,6,7
314,2,2,1,2,9,10,10,6,7
315,2,2,1,2,9,10,10,6,7
316,1,2,1,2,9,10,10,6,6
317,1,2,1,2,9,10,10,6,6
318,0,2,1,2,9,10,11,6,6
319,0,2,1,2,9,10,11,6,6
320,0,2,2,2,9,10,11,6,6
321,0,2,1,2,8,10,11,6,6
322,0,2,1,2,9,10,11,6,6
323,0,2,2,2,8,10,10,6,6
324,0,2,2,2,8,10,10,6,6
325,0,2,2,2,8,10,10,6,6
326,0,2,1,2,8,10,11,6,6
327,0,2,1,2,8,10,11,6,6
328,0,2,1,2,8,11,10,6,6
329,0,2,1,2,8,11,10,6,6
330,0,2,1,2,8,11,10,6,6
331,1,2,1,2,8,11,10,6,6
332,1,2,1,2,8,11,10,6,6
333,1,2,1,2,8,10,10,6,6
334,2,3,1,2,8,10,10,6,6
335,2,3,1,2,8,10,10,6,6
336,2,3,1,2,8,11,10,6,5
337,2,3,2,2,8,11,10,6,5
338,2,3,2,2,8,10,10,6,5
339,2,3,2,2,8,10,10,6,5
340,2,3,2,2,8,10,10,6,5
341,2,2,2,2,8,11,10,6,5
342,2,2,2,2,8,11,10,6,5
343,1,1,1,2,8,10,11,6,5
344,1,1,1,2,8,10,11,6,5
345,1,1,1,2,8,10,11,6,5
346,1,1,1,2,8,11,10,6,6
347,1,1,1,2,8,11,10,6,6
348,1,1,1,2,8,11,11,6,6
349,1,1,1,2,8,11,11,6,6
350,1,1,1,2,8,11,11,6,6
351,0,0,1,2,8,11,10,6,7
352,0,0,1,2,8,11,10,6,7
353,0,0,1,2,8,10,9,6,7
354,0,1,1,2,8,10,9,6,7
355,0,1,1,2,8,10,9,6,7
356,0,1,1,2,8,10,9,6,7
357,0,1,1,2,8,10,9,6,7
358,0,1,1,2,8,10,9,6,8
359,1,1,1,2,8,10,9,6,8
360,1,1,1,2,8,10,9,6,8
361,1,1,1,2,8,10,9,6,9
362,1,2,1,2,8,10,9,6,9
363,1,2,1,2,8,10,9,6,8
364,1,2,1,2,8,10,9,6,8
365,1,2,1,2,8,10,9,6,8
366,1,2,1,2,8,10,9,6,8
367,1,2,1,2,8,10,9,6,8
368,1,2,1,2,8,10,9,6,8
369,1,2,1,2,8,10,9,6,8
370,1,2,1,2,8,10,9,6,8
371,0,2,1,2,9,10,9,6,7
372,0,2,1,2,9,10,9,6,7
373,0,2,1,2,8,10,9,6,6
374,1,2,1,2,8,10,9,6,6
375,1,2,1,2,8,10,9,6,6
376,1,2,1,2,7,11,9,6,7
377,1,2,1,2,7,11,9,6,7
378,1,2,2,2,7,10,9,6,7
379,1,2,2,2,7,10,9,6,7
380,1,2,2,2,7,10,9,6,7
381,1,1,2,2,8,10,9,6,7
382,1,1,2,2,8,10,9,6,7
383,1,1,2,2,8,9,9,6,7
384,1,1,2,2,8,10,9,6,7
385,1,1,2,2,8,9,9,6,7
386,1,0,2,2,8,10,9,6,6
387,1,0,2,2,8,10,9,6,6
388,1,0,2,2,8,10,9,6,6
389,1,0,2,2,8,10,9,6,6
390,1,0,2,2,8,10,9,6,6
391,1,0,2,2,8,10,9,6,6
392,1,0,2,2,8,10,9,6,6
393,0,0,2,2,8,10,9,6,6
394,0,0,2,2,8,10,9,6,6
395,0,0,2,2,8,10,9,6,6
396,0,1,2,2,8,10,9,6,6
397,0,1,2,2,8,10,9,6,6
398,0,1,2,2,8,10,9,6,6
399,0,1,2,2,8,10,9,6,6
400,0,1,2,2,8,10,9,6,6
401,0,2,2,2,8,10,9,6,7
402,0,2,2,2,8,10,9,6,7
403,0,2,2,2,8,10,9,6,7
404,0,2,2,2,8,10,9,6,7
405,0,2,2,2,8,10,9,6,7
406,0,2,2,2,8,10,9,6,7
407,0,2,2,2,8,10,9,6,7
408,0,2,2,2,8,9,9,6,7
409,0,2,2,2,8,9,9,6,7
410,0,2,2,2,8,9,9,6,7
411,0,2,2,2,8,9,9,6,7
412,0,2,2,2,8,9,9,6,7
413,0,2,2,2,8,9,9,6,7
414,0,2,2,2,8,9,9,6,7
415,0,2,2,2,8,9,9,6,7
416,2,1,2,2,8,10,9,6,7
417,2,1,2,2,8,10,9,6,7
418,2,1,2,2,8,9,9,6,7
419,2,1,2,2,8,9,9,6,7
420,2,1,2,2,8,9,9,6,7
421,2,1,2,2,8,9,10,6,7
422,2,1,2,2,8,9,10,6,7
423,2,0,1,2,8,9,11,6,8
424,2,0,1,2,8,9,11,6,8
425,2,0,1,2,8,10,11,6,8
426,1,0,1,2,8,9,11,6,6
427,1,0,1,2,8,9,11,6,6
428,0,0,2,2,7,9,11,6,6
429,0,1,2,2,7,9,11,6,6
430,0,1,2,2,7,9,11,6,6
431,0,1,2,2,7,9,12,6,7
432,0,1,2,2,7,9,12,6,7
433,0,1,2,2,7,10,12,6,8
434,0,1,2,2,7,10,12,6,8
435,0,1,2,2,7,10,12,6,8
436,0,1,2,2,7,9,12,6,8
437,0,1,2,2,7,9,12,6,8
438,0,0,2,2,7,8,12,6,8
439,0,0,2,2,7,9,12,6,8
440,0,1,2,2,7,10,12,6,8
441,0,0,2,2,7,9,12,6,8
442,0,0,2,2,7,9,12,6,8
443,0,1,2,2,7,9,12,6,8
444,0,1,2,2,7,9,12,6,8
445,0,1,2,2,7,9,12,6,8
446,0,0,1,2,7,9,12,6,8
447,0,0,1,2,7,9,12,6,8
448,0,0,1,2,7,9,12,6,8
449,0,0,1,2,7,9,12,6,8
450,0,0,1,2,7,9,12,6,8
451,1,0,1,2,7,9,12,6,7
452,1,0,1,2,7,9,12,6,7
453,1,0,2,2,7,10,12,6,8
454,1,0,2,2,7,10,12,6,8
455,1,0,2,2,7,10,12,6,8
456,1,0,2,2,6,10,12,6,8
457,1,0,2,2,6,10,12,6,8
